source_family,dataset,path,rows
cdisc_pilot_xpt,adae,data/interim/cdisc_pilot/adae.parquet,1191
cdisc_pilot_xpt,adlbc,data/interim/cdisc_pilot/adlbc.parquet,74264
cdisc_pilot_xpt,adlbh,data/interim/cdisc_pilot/adlbh.parquet,49932
cdisc_pilot_xpt,adsl,data/interim/cdisc_pilot/adsl.parquet,254
cdisc_pilot_xpt,adtte,data/interim/cdisc_pilot/adtte.parquet,254
cdisc_pilot_xpt,advs,data/interim/cdisc_pilot/advs.parquet,32139
cdisc_pilot_xpt,ae,data/interim/cdisc_pilot/ae.parquet,1191
cdisc_pilot_xpt,dm,data/interim/cdisc_pilot/dm.parquet,306
cdisc_pilot_xpt,ds,data/interim/cdisc_pilot/ds.parquet,596
cdisc_pilot_xpt,ex,data/interim/cdisc_pilot/ex.parquet,591
cdisc_pilot_xpt,lb,data/interim/cdisc_pilot/lb.parquet,59580
cdisc_pilot_xpt,vs,data/interim/cdisc_pilot/vs.parquet,29643
safetydata_rda,adam_adae,data/interim/safetydata/adam_adae.parquet,1191
safetydata_rda,adam_adlbc,data/interim/safetydata/adam_adlbc.parquet,74264
safetydata_rda,adam_adlbh,data/interim/safetydata/adam_adlbh.parquet,49932
safetydata_rda,adam_adlbhy,data/interim/safetydata/adam_adlbhy.parquet,9954
safetydata_rda,adam_adqsadas,data/interim/safetydata/adam_adqsadas.parquet,12463
safetydata_rda,adam_adqscibc,data/interim/safetydata/adam_adqscibc.parquet,730
safetydata_rda,adam_adqsnpix,data/interim/safetydata/adam_adqsnpix.parquet,31140
safetydata_rda,adam_adsl,data/interim/safetydata/adam_adsl.parquet,254
safetydata_rda,adam_adtte,data/interim/safetydata/adam_adtte.parquet,254
safetydata_rda,adam_advs,data/interim/safetydata/adam_advs.parquet,32139
safetydata_rda,sdtm_ae,data/interim/safetydata/sdtm_ae.parquet,1191
safetydata_rda,sdtm_cm,data/interim/safetydata/sdtm_cm.parquet,7510
safetydata_rda,sdtm_dm,data/interim/safetydata/sdtm_dm.parquet,306
safetydata_rda,sdtm_ds,data/interim/safetydata/sdtm_ds.parquet,596
safetydata_rda,sdtm_ex,data/interim/safetydata/sdtm_ex.parquet,591
safetydata_rda,sdtm_lb,data/interim/safetydata/sdtm_lb.parquet,59580
safetydata_rda,sdtm_mh,data/interim/safetydata/sdtm_mh.parquet,1818
safetydata_rda,sdtm_qs,data/interim/safetydata/sdtm_qs.parquet,121749
safetydata_rda,sdtm_relrec,data/interim/safetydata/sdtm_relrec.parquet,234
safetydata_rda,sdtm_sc,data/interim/safetydata/sdtm_sc.parquet,254
safetydata_rda,sdtm_se,data/interim/safetydata/sdtm_se.parquet,752
safetydata_rda,sdtm_suppae,data/interim/safetydata/sdtm_suppae.parquet,1191
safetydata_rda,sdtm_suppdm,data/interim/safetydata/sdtm_suppdm.parquet,1197
safetydata_rda,sdtm_suppds,data/interim/safetydata/sdtm_suppds.parquet,3
safetydata_rda,sdtm_supplb,data/interim/safetydata/sdtm_supplb.parquet,64403
safetydata_rda,sdtm_sv,data/interim/safetydata/sdtm_sv.parquet,3559
safetydata_rda,sdtm_ta,data/interim/safetydata/sdtm_ta.parquet,8
safetydata_rda,sdtm_te,data/interim/safetydata/sdtm_te.parquet,7
safetydata_rda,sdtm_ti,data/interim/safetydata/sdtm_ti.parquet,31
safetydata_rda,sdtm_ts,data/interim/safetydata/sdtm_ts.parquet,33
safetydata_rda,sdtm_tv,data/interim/safetydata/sdtm_tv.parquet,21
safetydata_rda,sdtm_vs,data/interim/safetydata/sdtm_vs.parquet,29643
